Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
31083,Harlan County,3,-83.23,36.84,1486.83,0.0,0.0,,,,,,,,,,26,9,741,74,13,1917,,,,49,12,2624,,,,34,8,831,,,,7,3,76,,,,189,13,6512,,,,78,15,641,39,7,707,,,
31185,York County,14,-76.74,39.97,1491.46,1.64,0.04,103,6,8827,,,,,,,328,52,15013,333,41,15842,136,11,4913,356,43,14353,39,16,820,139,25,5535,75,3,5802,384,20,16596,328,6,4811,988,39,39865,46,7,942,776,41,10310,457,80,10572,,,
31019,Buffalo County,49,-99.08,40.84,2526.38,2.96,0.14,209,7,8901,39,4,1557,0,7,0,1230,209,50006,1085,87,54130,455,33,16727,704,131,37391,177,68,6034,740,111,35466,584,7,24545,930,65,27767,118,13,2070,4015,205,196185,528,30,5878,3154,162,49501,1121,174,27607,,,
31037,Colfax County,11,-97.08,41.57,1078.73,1.77,0.07,,,,,,,,,,111,30,4767,223,18,11712,13,4,218,92,16,4153,7,5,105,45,12,1566,,,,,,,0,3,0,269,16,8826,20,4,349,160,17,2010,189,44,3996,,,
31049,Deuel County,2,-102.33,41.11,1141.67,0.0,0.0,,,,,,,,,,,,,23,4,1067,,,,26,6,1107,,,,,,,,,,,,,,,,45,4,1171,,,,45,6,983,22,8,537,,,
31087,Hitchcock County,3,-101.04,40.17,1860.76,0.0,0.0,,,,0,6,0,,,,16,8,889,45,9,1671,,,,24,5,950,,,,,,,,,,,,,,,,,,,,,,19,4,118,9,5,110,,,
31113,Logan County,1,-89.38,40.11,1479.44,0.0,0.0,,,,,,,,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31141,Platte County,33,-94.77,39.38,1772.97,1.84,0.17,,,,0,4,0,,,,1017,109,53003,694,64,38344,146,17,4359,497,85,28282,154,38,4714,395,63,18646,37,5,3209,1081,49,21273,335,15,7589,1810,98,77851,223,15,2327,1155,73,14857,649,102,15453,,,
31143,Polk County,5,-94.82,30.76,1141.3,0.0,0.0,,,,,,,,,,54,20,2232,109,11,5374,,,,56,13,2260,,,,28,14,532,,,,13,6,327,,,,249,9,7675,,,,46,8,415,62,22,1253,,,
31169,Thayer County,5,-97.63,40.17,1489.49,0.0,0.0,12,3,394,,,,,,,70,24,2498,247,26,12812,12,4,372,103,14,5030,0,3,0,29,10,689,,,,16,3,276,,,,373,11,12998,,,,119,16,733,105,35,2267,,,
