Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
37079,Greene County,21,-90.39,39.36,692.05,3.87,0.04,,,,,,,,,,238,33,10220,37,6,1159,,,,52,13,2282,6,5,150,50,9,2470,,,,120,19,4227,,,,567,45,16932,,,,274,18,3465,111,36,2732,,,
37087,Haywood County,61,-82.99,35.55,1436.08,1.68,0.04,4,4,194,,,,69,4,5959,814,186,38231,352,43,17462,122,18,6216,395,77,21323,268,70,6499,566,114,24390,99,5,10990,500,68,15987,150,14,2870,3115,138,135751,263,17,6289,2429,165,42012,1109,176,26239,,,
37045,Cleveland County,97,-81.55,35.33,1213.05,0.0,0.0,,,,,,,117,6,13498,1237,170,58661,1278,78,46761,171,23,8522,458,92,23898,231,88,8630,996,117,46290,118,6,11576,1380,95,44717,1403,15,33297,5185,236,257946,403,24,5235,3146,173,44394,1458,285,36910,2,5,41
37077,Granville County,59,-78.66,36.32,1392.03,0.0,0.0,23,5,1025,,,,8,3,1059,876,139,42576,510,34,30697,28,8,1531,246,33,14652,131,41,3453,256,69,11352,,,,627,50,20666,192,5,6999,4300,106,177912,26,11,561,1189,71,16151,439,111,10716,,,
37121,Mitchell County,15,-100.92,32.29,574.78,0.0,0.0,7,3,138,701,10,55519,17,3,1549,263,39,11109,27,11,1385,21,6,784,95,21,4244,84,14,2198,66,19,2226,18,3,723,33,11,1138,94,4,3133,889,41,29309,,,,396,31,6894,179,55,3463,,,
37041,Chowan County,14,-76.63,36.08,458.05,0.0,0.0,65,9,3075,,,,,,,169,37,6550,190,20,9710,69,9,2776,78,17,5552,32,13,787,133,21,8347,,,,51,11,2165,,,,1043,65,42763,14,6,227,382,30,5060,227,34,4312,,,
37005,Alleghany County,11,-81.13,36.5,610.9,0.0,0.0,7,3,225,,,,,,,139,47,3967,10,5,206,25,5,710,83,13,3617,19,11,413,54,14,1739,,,,30,7,538,,,,379,27,11901,119,9,4508,258,27,4533,77,23,1680,,,
37027,Caldwell County,82,-97.6,29.83,1229.12,1.63,0.04,,,,16,3,980,121,4,11787,754,125,31340,2127,63,106812,203,19,23923,348,74,18133,121,55,3766,421,78,17388,194,9,14545,812,59,27845,57,8,666,3357,133,125140,166,23,2822,1987,120,27822,907,186,23550,,,
37035,Catawba County,158,-81.21,35.67,1077.45,1.66,0.08,15,5,386,24,3,1673,404,16,37334,2593,342,128205,5838,270,381509,590,50,24604,1788,238,96526,1068,214,37355,2394,333,154881,1532,24,217097,3913,194,117111,1423,37,32541,12829,414,583867,901,53,16498,8016,372,124006,2775,446,72127,8,4,348
37049,Craven County,102,-77.04,35.08,1891.99,1.84,0.07,113,22,5448,40,3,2280,114,6,10769,1219,185,57695,794,69,37625,357,34,16105,613,114,40405,359,118,13770,1725,211,103096,125,8,6674,1496,109,48914,268,30,7603,6673,263,366254,400,35,7459,4262,214,62937,1325,251,32251,3,4,256
37089,Henderson County,115,-95.79,32.18,971.03,0.0,0.0,70,9,2319,30,3,1464,79,7,6573,2157,428,105813,1613,128,82231,290,35,14825,656,129,41653,408,150,13773,915,246,40669,1030,10,81181,1307,189,49691,389,28,11656,7019,277,320453,556,40,14446,3802,233,73035,1980,308,57429,,,
37065,Edgecombe County,53,-77.6,35.92,1312.86,1.64,0.07,2,3,105,,,,71,4,6263,462,76,19072,456,21,23530,283,25,13336,164,33,7516,138,34,4887,144,42,4792,191,3,9351,278,35,11289,202,5,5058,2505,98,80889,26,6,363,1046,57,14386,299,94,6483,,,
