Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
41001,Baker County,17,-82.28,30.31,7999.18,0.0,0.0,7,8,250,141,3,6308,146,6,14244,254,75,9086,59,14,1957,57,9,2608,98,24,4955,30,17,1389,219,44,8664,,,,81,19,2879,196,3,10837,674,53,36543,84,10,2073,522,58,11403,157,50,4079,,,
41003,Benton County,95,-94.05,45.72,1756.98,3.46,0.75,473,48,30024,10,3,778,,,,1146,204,69084,304,52,19001,380,49,22950,642,115,60319,512,137,21573,2762,261,255201,2948,8,497696,603,93,24222,457,36,14759,6037,294,383348,234,35,5420,3147,234,65481,1399,205,55138,,,
41005,Clackamas County,419,-122.23,45.16,4875.09,2.32,1.75,890,67,35278,173,11,11762,351,23,34035,13937,1941,913889,10623,657,781695,3673,200,411345,5652,801,661753,3151,763,198966,7882,1427,668325,1632,81,172525,8718,684,391746,1461,151,50269,22935,1409,1446009,1813,207,53516,12990,910,326989,6908,989,229887,12,14,699
41071,Yamhill County,107,-123.22,45.23,1860.49,2.22,0.92,864,50,38075,29,3,1862,58,8,4814,2131,411,127310,844,84,61336,284,39,24165,655,110,52285,355,132,16888,829,213,47813,247,8,15685,1093,137,36817,2957,42,72943,5168,299,238089,91,21,3331,2924,245,76655,1418,248,42168,,,
41007,Clatsop County,41,-123.67,45.98,2209.13,2.03,0.05,247,37,14993,,,,36,6,3718,942,209,51192,189,30,13187,110,25,6097,262,51,19411,404,91,17616,328,102,12680,83,5,5784,315,65,11210,56,15,1321,2534,142,140523,273,30,8960,3837,282,106288,558,125,14548,7,3,163
41009,Columbia County,52,-76.42,41.04,1784.87,1.82,0.14,162,28,10597,74,7,6840,143,7,17131,619,149,38073,92,15,4571,47,15,2467,327,49,24064,67,38,2947,328,84,15835,,,,326,39,12989,131,14,9219,1185,127,45920,49,15,720,1197,101,26318,408,93,11863,,,
41011,Coos County,65,-124.11,43.22,4214.04,1.95,0.06,638,71,36392,56,6,3332,33,3,4416,1018,193,56911,361,45,18559,212,40,9729,469,72,30998,292,76,9326,469,109,22818,28,3,1462,1691,84,61314,59,13,2056,4138,209,231938,799,26,31303,1866,169,53795,571,134,14409,,,
41013,Crook County,24,-120.38,44.15,7736.14,3.64,0.01,48,17,3884,16,4,996,3,3,263,782,112,68677,148,17,9816,93,12,8847,94,23,5414,68,31,4961,160,49,8606,,,,151,31,5371,72,8,1462,590,43,31550,21,9,549,595,48,13621,235,64,7722,,,
41015,Curry County,23,-124.22,42.43,4237.46,1.59,0.02,121,31,5808,,,,65,3,7214,398,100,16781,25,9,976,39,16,2172,197,28,12699,101,49,2816,139,34,5800,,,,86,20,3931,19,3,421,1104,98,51647,30,12,1787,969,113,24109,158,44,4328,,,
41017,Deschutes County,195,-121.17,43.82,7907.49,2.26,0.28,279,48,18025,73,5,4383,391,30,37535,7540,1350,483495,1678,283,116998,1890,158,131460,2406,360,222829,1424,646,75575,4331,1037,301593,156,29,14222,5373,461,268440,1024,103,32396,11921,897,794076,2197,170,51110,9713,672,282714,3006,587,112581,8,13,487
41019,Douglas County,111,-88.22,39.76,13130.5,2.21,0.06,1090,120,64934,43,6,2648,149,11,17449,1900,348,101937,746,61,44219,339,30,15966,808,126,51950,281,118,10033,945,165,45294,82,9,6564,2456,131,81122,177,17,5041,6675,328,502074,316,29,8242,3562,264,82537,1063,243,32464,9,6,254
41021,Gilliam County,2,-120.22,45.33,3166.28,0.0,0.0,,,,,,,41,5,3101,23,3,594,26,6,1100,,,,13,4,708,,,,,,,,,,226,5,12337,,,,80,9,2285,,,,29,7,624,15,7,348,,,
41025,Harney County,7,-119.02,43.06,26494.21,0.0,0.0,68,9,3566,,,,22,3,2159,80,32,3462,40,7,1714,13,6,453,30,9,1372,16,7,536,86,12,3693,,,,60,5,1430,56,3,2558,349,19,20927,12,3,266,219,31,4372,50,19,1946,,,
41023,Grant County,7,-96.03,45.94,11723.16,0.0,0.0,86,19,4776,,,,,,,135,34,6339,28,4,1260,50,6,3097,58,11,2624,12,12,352,79,17,3439,,,,43,6,773,,,,376,18,18929,8,3,192,171,25,3688,68,18,1966,,,
