Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
53001,Adams County,20,-91.21,39.98,5000.05,2.68,0.02,328,19,21610,,,,29,4,3396,93,26,4891,491,29,32847,6,3,237,84,18,4160,25,14,676,54,12,3561,,,,16,10,635,,,,831,31,46192,,,,377,34,7200,149,50,3946,,,
53003,Asotin County,22,-117.2,46.17,1659.02,1.92,0.25,,,,,,,,,,460,64,33344,108,19,7331,75,11,2345,136,26,11426,52,19,1327,268,37,12048,,,,83,21,3291,66,7,1634,1402,62,72529,50,7,1800,660,42,14609,149,44,4120,,,
53005,Benton County,205,-94.05,45.72,4559.07,2.45,0.75,187,22,16625,,,,190,10,19001,8176,696,599070,1962,162,132828,540,74,32305,2028,250,174643,1035,345,52751,8195,507,772590,393,21,30062,9126,274,738796,534,52,16634,13017,646,691344,872,74,23823,6906,469,176295,2722,449,95376,,,
53015,Cowlitz County,109,-122.69,46.2,3021.26,2.91,0.44,620,43,40167,149,6,12478,82,9,8926,2466,302,184313,985,98,72151,232,36,13175,847,96,64017,466,122,21399,726,153,40041,111,8,9211,1852,106,77099,283,26,7592,5490,230,294652,127,20,3451,3052,221,74828,1134,224,41370,,,
53009,Clallam County,77,-123.74,48.0,4591.46,1.66,0.09,487,56,33261,20,4,1198,29,9,990,1384,349,72976,292,58,17391,132,25,6098,515,84,41486,242,116,11661,721,176,38724,167,5,9640,931,130,37578,101,23,2518,4244,223,225832,425,36,15572,2150,227,58402,853,195,28581,,,
53007,,79,0.0,0.0,7755.59,2.57,0.13,2957,23,128666,,,,14,3,1118,2686,415,205468,2849,98,140365,345,49,26587,795,124,65114,553,166,25574,1186,221,72188,195,5,16644,875,151,34086,148,30,3179,6685,244,481753,863,67,19410,3963,310,122434,1075,241,36821,3,3,99
53011,Clark County,496,-87.78,39.33,1698.43,2.62,6.96,201,43,17085,39,10,7090,89,12,13077,18089,1984,1325917,7523,556,769307,3018,226,234154,6450,684,889920,2658,738,145254,8742,1373,669189,6736,80,691398,8934,701,366345,1571,160,53229,24699,1366,1489147,2800,164,105423,12846,846,348689,5629,1054,219579,47,18,2234
53013,Columbia County,4,-76.42,41.04,2262.31,0.0,0.0,15,4,655,,,,28,5,3372,21,10,404,22,12,1030,10,4,382,14,5,934,7,4,142,33,10,951,,,,,,,,,,168,9,10324,106,4,885,49,13,1474,48,12,3275,,,
53017,Douglas County,43,-88.22,39.76,4788.25,1.94,0.1,43,8,3245,,,,,,,803,193,46058,868,48,45474,211,14,13631,203,34,10146,118,48,4341,172,43,9279,45,4,5108,483,49,15702,64,6,1275,892,66,34764,81,9,2534,967,62,25211,232,71,7887,,,
53019,Ferry County,7,-118.48,48.47,5848.41,0.0,0.0,45,15,2853,,,,,,,30,16,1465,,,,,,,19,4,678,14,8,502,14,8,757,,,,21,5,635,4,3,109,150,11,6846,,,,89,21,1968,37,11,1574,,,
