Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
40001,Adair County,22,-92.62,40.18,1494.61,0.01,0.34,,,,,,,,,,73.0,14.0,2109.0,78.0,9.0,2837.0,11.0,3.0,658.0,118.0,18.0,4059.0,17.0,7.0,387.0,65.0,19.0,1821.0,,,,0.0,4.0,0.0,,,,513.0,21.0,17728.0,,,,288.0,21.0,3756.0,60.0,25.0,947.0,,,
40003,Alfalfa County,6,-98.31,36.72,2283.01,0.0,0.02,,,,64.0,8.0,4263.0,,,,79.0,13.0,5331.0,99.0,13.0,2796.0,,,,76.0,14.0,4015.0,,,,27.0,9.0,925.0,,,,2.0,4.0,28.0,,,,140.0,11.0,4323.0,,,,78.0,12.0,848.0,66.0,18.0,1152.0,,,
40005,Atoka County,14,-96.02,34.33,2563.87,0.01,0.14,,,,0.0,6.0,0.0,12.0,3.0,1048.0,74.0,22.0,2825.0,63.0,12.0,2213.0,32.0,7.0,1227.0,124.0,19.0,5776.0,21.0,7.0,731.0,49.0,16.0,1515.0,,,,23.0,9.0,684.0,,,,375.0,22.0,9145.0,7.0,3.0,120.0,308.0,24.0,3918.0,99.0,33.0,1782.0,,,
40007,Beaver County,5,-80.37,40.69,4707.78,0.0,0.0,,,,234.0,27.0,12651.0,,,,404.0,22.0,25826.0,40.0,6.0,948.0,,,,54.0,8.0,2337.0,,,,25.0,10.0,854.0,,,,3.0,3.0,23.0,,,,80.0,5.0,2721.0,4.0,3.0,73.0,28.0,6.0,260.0,95.0,22.0,1874.0,,,
40009,Beckham County,23,-99.69,35.25,2341.4,0.01,0.4,,,,1751.0,84.0,145134.0,54.0,5.0,3888.0,512.0,45.0,30001.0,378.0,44.0,16381.0,66.0,8.0,2611.0,325.0,38.0,16916.0,308.0,42.0,16727.0,257.0,66.0,12708.0,,,,85.0,21.0,3202.0,,,,1055.0,85.0,39277.0,24.0,7.0,365.0,763.0,69.0,10824.0,327.0,73.0,8432.0,,,
40011,Blaine County,10,-99.98,41.92,2431.31,0.0,0.01,,,,116.0,17.0,5337.0,6.0,3.0,332.0,79.0,28.0,4684.0,123.0,14.0,6692.0,40.0,6.0,1197.0,142.0,21.0,6092.0,0.0,5.0,0.0,48.0,14.0,1421.0,,,,54.0,11.0,1923.0,,,,358.0,27.0,12107.0,0.0,4.0,0.0,138.0,21.0,1940.0,86.0,33.0,1063.0,,,
40013,Bryan County,45,-81.42,32.0,2444.52,0.02,0.34,,,,31.0,3.0,1035.0,56.0,6.0,4055.0,341.0,51.0,11620.0,687.0,33.0,26555.0,173.0,18.0,8016.0,305.0,64.0,12791.0,81.0,27.0,3308.0,292.0,57.0,12097.0,0.0,4.0,0.0,713.0,27.0,13983.0,18.0,4.0,98.0,2224.0,132.0,82196.0,32.0,6.0,508.0,1353.0,69.0,18296.0,512.0,78.0,10218.0,,,
40015,Caddo County,29,-98.38,35.13,3341.32,0.01,0.09,11.0,4.0,426.0,196.0,24.0,10203.0,378.0,7.0,31924.0,142.0,36.0,5056.0,258.0,19.0,9320.0,90.0,12.0,4042.0,200.0,37.0,8481.0,20.0,10.0,839.0,395.0,34.0,18762.0,,,,0.0,12.0,0.0,,,,601.0,44.0,13614.0,451.0,8.0,9881.0,382.0,42.0,4801.0,258.0,61.0,7638.0,,,
40017,Canadian County,133,-98.0,35.54,2345.44,0.06,0.31,14.0,5.0,1045.0,2331.0,126.0,177225.0,114.0,9.0,9565.0,1622.0,405.0,64156.0,1394.0,115.0,89481.0,687.0,29.0,20333.0,936.0,177.0,42724.0,754.0,165.0,40338.0,837.0,261.0,52980.0,438.0,11.0,23516.0,776.0,149.0,27451.0,195.0,19.0,3761.0,2727.0,265.0,103703.0,510.0,23.0,12969.0,4457.0,220.0,60172.0,1425.0,248.0,32489.0,,,
40019,Carter County,48,-97.28,34.23,2159.45,0.02,0.17,,,,832.0,110.0,44947.0,99.0,7.0,7715.0,799.0,105.0,36208.0,1026.0,84.0,40684.0,231.0,27.0,9143.0,716.0,114.0,36061.0,295.0,73.0,12552.0,561.0,131.0,26717.0,232.0,8.0,10578.0,878.0,74.0,24975.0,121.0,16.0,2588.0,3570.0,227.0,161941.0,216.0,24.0,6427.0,2067.0,113.0,29148.0,1174.0,140.0,43318.0,,,
