Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
38001,Adams County,2,-91.21,39.98,2560.77,0.0,0.0,,,,,,,,,,25.0,9.0,548.0,73.0,8.0,3842.0,17.0,3.0,160.0,34.0,7.0,1858.0,,,,20.0,5.0,1166.0,,,,,,,,,,294.0,16.0,14025.0,,,,61.0,9.0,630.0,21.0,12.0,569.0,,,
38003,Barnes County,11,-98.07,46.93,3919.8,0.0,0.0,,,,,,,,,,217.0,49.0,11900.0,163.0,21.0,9401.0,33.0,4.0,2962.0,127.0,28.0,8173.0,47.0,9.0,2299.0,63.0,12.0,2954.0,,,,44.0,8.0,1013.0,23.0,4.0,399.0,1070.0,40.0,33294.0,43.0,4.0,503.0,300.0,32.0,4015.0,219.0,44.0,5138.0,,,
38005,Benson County,7,-99.4,48.02,3728.04,0.0,0.0,,,,,,,,,,10.0,7.0,835.0,86.0,11.0,6766.0,,,,63.0,8.0,3161.0,,,,5.0,3.0,202.0,,,,,,,,,,42.0,5.0,422.0,,,,496.0,9.0,12523.0,7.0,3.0,43.0,,,
38007,Billings County,1,-103.39,47.05,2986.95,0.0,0.0,,,,60.0,4.0,5144.0,,,,8.0,4.0,191.0,,,,,,,,,,,,,,,,,,,10.0,4.0,373.0,,,,,,,,,,110.0,12.0,7922.0,25.0,4.0,1993.0,,,
38009,Bottineau County,7,-100.84,48.82,4396.54,0.0,0.0,6.0,7.0,352.0,248.0,14.0,19455.0,,,,65.0,30.0,3297.0,78.0,16.0,5109.0,,,,112.0,24.0,6119.0,6.0,4.0,38.0,84.0,17.0,3750.0,,,,17.0,9.0,1414.0,,,,277.0,16.0,9127.0,33.0,8.0,449.0,168.0,26.0,2592.0,90.0,28.0,2051.0,,,
38011,Bowman County,3,-103.51,46.1,3021.69,0.0,0.0,,,,43.0,3.0,3603.0,16.0,3.0,1175.0,83.0,17.0,4451.0,101.0,12.0,5869.0,4.0,3.0,68.0,79.0,14.0,4876.0,,,,57.0,10.0,8139.0,,,,,,,,,,256.0,18.0,9753.0,7.0,3.0,121.0,129.0,19.0,1726.0,43.0,16.0,1201.0,,,
38013,Burke County,2,-81.66,35.73,2924.0,0.0,0.0,,,,40.0,8.0,3323.0,,,,4.0,3.0,85.0,26.0,6.0,1419.0,,,,29.0,7.0,1594.0,,,,14.0,5.0,503.0,,,,,,,,,,15.0,4.0,295.0,,,,41.0,6.0,426.0,14.0,7.0,245.0,,,
38015,Burleigh County,95,-100.51,46.95,4321.53,0.02,0.25,3.0,3.0,1291.0,76.0,16.0,7567.0,1113.0,15.0,112575.0,3199.0,406.0,219235.0,1918.0,147.0,121539.0,878.0,43.0,45831.0,1800.0,220.0,130727.0,470.0,173.0,22292.0,3146.0,288.0,209134.0,608.0,22.0,67696.0,1622.0,178.0,56131.0,1498.0,32.0,46926.0,11382.0,312.0,564813.0,954.0,48.0,14941.0,5378.0,208.0,104166.0,2689.0,343.0,103821.0,7.0,5.0,142.0
38017,Cass County,177,-94.35,33.06,4578.49,0.04,0.07,28.0,10.0,956.0,,,,182.0,8.0,16903.0,7276.0,731.0,524495.0,7196.0,393.0,468468.0,3049.0,88.0,305995.0,9339.0,423.0,622282.0,1938.0,342.0,84368.0,5839.0,508.0,401166.0,3161.0,54.0,267257.0,5627.0,304.0,189159.0,844.0,45.0,20590.0,20602.0,505.0,1275909.0,2281.0,115.0,37266.0,10477.0,476.0,178901.0,3695.0,505.0,120249.0,4.0,5.0,53.0
38019,Cavalier County,4,-98.5,48.77,3911.65,0.0,0.0,,,,,,,31.0,3.0,2400.0,48.0,16.0,4249.0,157.0,14.0,10714.0,96.0,5.0,5865.0,81.0,13.0,4651.0,,,,16.0,6.0,860.0,,,,,,,,,,227.0,9.0,6997.0,9.0,3.0,151.0,75.0,11.0,1206.0,83.0,16.0,1222.0,,,
