Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
53001,Adams County,20,-91.21,39.98,5000.06,0.0,0.01,268.0,18.0,13340.0,,,,33.0,3.0,3353.0,70.0,28.0,3538.0,587.0,34.0,41288.0,12.0,4.0,269.0,91.0,18.0,4123.0,23.0,15.0,609.0,63.0,13.0,3616.0,,,,23.0,10.0,718.0,,,,786.0,29.0,42255.0,16.0,5.0,423.0,379.0,34.0,6519.0,143.0,48.0,3658.0,,,
53003,Asotin County,22,-117.2,46.17,1658.9,0.01,0.19,,,,,,,,,,448.0,71.0,33170.0,120.0,16.0,6621.0,46.0,9.0,2054.0,148.0,27.0,8651.0,60.0,17.0,1606.0,227.0,36.0,8379.0,4.0,3.0,224.0,72.0,19.0,3655.0,59.0,9.0,1288.0,1271.0,59.0,61304.0,87.0,9.0,1704.0,657.0,42.0,13397.0,182.0,43.0,3543.0,,,
53005,Benton County,198,-94.05,45.72,4559.07,0.04,0.13,129.0,16.0,8290.0,,,,166.0,7.0,14653.0,7566.0,659.0,577655.0,1900.0,156.0,119874.0,847.0,79.0,32884.0,1965.0,246.0,145343.0,1108.0,339.0,48066.0,7442.0,482.0,696667.0,418.0,21.0,32039.0,10034.0,246.0,784468.0,470.0,54.0,10100.0,11852.0,622.0,644369.0,1338.0,85.0,26429.0,7513.0,438.0,160492.0,2982.0,445.0,87111.0,20.0,8.0,362.0
53007,Chelan County,76,-120.63,47.8,7755.27,0.01,0.15,3198.0,21.0,126000.0,,,,16.0,3.0,1236.0,2543.0,402.0,195934.0,2746.0,101.0,130335.0,447.0,49.0,22443.0,792.0,127.0,56169.0,556.0,146.0,23191.0,1157.0,211.0,72157.0,215.0,4.0,16032.0,684.0,135.0,28269.0,146.0,33.0,2232.0,6796.0,236.0,453535.0,802.0,66.0,19017.0,4456.0,310.0,112533.0,1140.0,241.0,33084.0,3.0,6.0,54.0
53009,Clallam County,75,-123.74,48.0,4591.96,0.02,0.08,454.0,54.0,26687.0,22.0,4.0,1213.0,32.0,11.0,1102.0,1340.0,337.0,66058.0,438.0,53.0,21680.0,140.0,21.0,5929.0,506.0,91.0,30792.0,230.0,96.0,8789.0,741.0,159.0,31627.0,153.0,5.0,7361.0,752.0,120.0,26660.0,162.0,25.0,3388.0,4414.0,236.0,207699.0,491.0,38.0,15311.0,2465.0,230.0,55177.0,958.0,196.0,28364.0,2.0,3.0,103.0
53011,Clark County,473,-87.78,39.33,1698.91,0.28,0.65,179.0,40.0,13820.0,41.0,10.0,6704.0,119.0,7.0,10541.0,16564.0,1874.0,1120608.0,7060.0,555.0,539763.0,3146.0,220.0,179371.0,6186.0,666.0,656208.0,2509.0,666.0,117910.0,8559.0,1281.0,565048.0,7296.0,79.0,664769.0,9124.0,675.0,338411.0,1837.0,140.0,46071.0,24612.0,1277.0,1329831.0,3864.0,149.0,107890.0,14592.0,846.0,322764.0,6082.0,1038.0,201206.0,30.0,27.0,936.0
53013,Columbia County,4,-76.42,41.04,2262.31,0.0,0.0,10.0,5.0,841.0,,,,29.0,6.0,2852.0,10.0,7.0,340.0,22.0,10.0,1145.0,11.0,3.0,257.0,12.0,4.0,418.0,9.0,4.0,157.0,39.0,11.0,986.0,,,,8.0,4.0,1054.0,,,,171.0,8.0,9574.0,106.0,4.0,714.0,58.0,13.0,1189.0,101.0,10.0,7068.0,,,
53015,Cowlitz County,107,-122.69,46.2,3021.33,0.04,0.17,1080.0,45.0,71029.0,141.0,6.0,12236.0,77.0,8.0,8184.0,3243.0,272.0,228271.0,1181.0,101.0,70436.0,253.0,30.0,13139.0,833.0,94.0,52226.0,506.0,130.0,20793.0,971.0,149.0,55697.0,116.0,8.0,7656.0,1612.0,102.0,65748.0,310.0,27.0,8402.0,5935.0,244.0,285175.0,316.0,20.0,5032.0,3286.0,225.0,67111.0,1314.0,224.0,40303.0,9.0,5.0,410.0
53017,Douglas County,42,-88.22,39.76,4788.22,0.01,0.51,71.0,12.0,3041.0,,,,,,,653.0,179.0,38789.0,1076.0,45.0,43340.0,205.0,15.0,12255.0,179.0,31.0,9491.0,114.0,44.0,3855.0,195.0,49.0,7667.0,56.0,4.0,5472.0,404.0,51.0,10694.0,60.0,6.0,974.0,854.0,66.0,27971.0,145.0,11.0,2845.0,987.0,61.0,21312.0,268.0,77.0,7753.0,5.0,3.0,100.0
53019,Ferry County,8,-118.48,48.47,5848.66,0.0,0.71,40.0,17.0,2497.0,,,,,,,28.0,14.0,1081.0,,,,15.0,3.0,470.0,20.0,4.0,682.0,25.0,8.0,521.0,18.0,8.0,499.0,,,,22.0,6.0,533.0,9.0,3.0,153.0,149.0,13.0,6423.0,,,,80.0,18.0,1374.0,53.0,10.0,1363.0,,,
