Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
45003,Aiken County,170,-81.62,33.57,2797.34,1.7,0.09,123,28,5463,91,4,6088,431,13,30491,2566,259,139485,891,73,41868,460,36,22971,1044,200,66891,426,121,17227,2545,243,197490,133,8,11057,9238,157,755719,497,27,13460,6678,346,262541,863,57,14701,5834,285,80132,2358,334,62361,37,5,384
45005,Allendale County,9,-81.34,32.96,1068.33,0.0,0.0,90,8,4303,,,,,,,37,5,1177,53,8,3022,11,5,407,35,7,1668,6,3,126,33,8,1962,,,,,,,,,,351,13,15277,,,,54,8,720,17,8,206,,,
45071,Newberry County,38,-81.58,34.33,1676.4,0.0,0.0,245,21,10964,,,,,,,791,90,35788,373,32,15962,29,10,1219,175,52,6627,67,24,2799,178,45,6672,33,3,3316,303,33,8731,480,8,11078,1448,69,55125,78,8,975,1155,63,13634,377,104,10330,,,
45037,Edgefield County,27,-81.98,33.76,1313.2,0.0,0.0,96,9,7082,,,,,,,241,44,9429,501,10,32018,9,4,419,43,14,1758,26,15,892,64,19,3126,,,,188,22,5524,66,3,1432,699,29,21968,29,3,475,211,22,2755,426,45,16624,,,
45083,Spartanburg County,314,-82.0,34.94,2123.03,1.79,0.11,58,12,2501,174,11,9176,229,11,21126,7478,602,431794,7669,421,480846,2058,74,111724,3139,512,198847,1244,276,47685,3765,516,222202,3351,78,362427,14592,368,557570,2919,49,88186,14860,612,749712,1014,81,13609,12216,606,178991,5396,764,152818,15,8,295
45023,Chester County,32,-75.77,39.98,1518.04,0.0,0.0,65,7,3285,,,,10,6,1310,369,45,19881,187,18,12880,221,10,11789,136,29,5727,29,15,1098,130,29,4998,,,,192,28,5171,37,3,586,615,45,21736,86,6,2223,669,48,10475,292,84,6913,,,
45027,Clarendon County,34,-80.23,33.67,1801.93,4.7,0.02,165,13,6686,,,,,,,101,33,3347,106,16,5905,,,,222,39,10071,29,16,624,88,27,3670,,,,59,19,1610,109,8,2519,1268,39,41962,67,7,1117,700,56,8814,315,64,6768,,,
45029,Colleton County,38,-80.68,32.86,2785.55,0.0,0.0,361,31,16175,16,3,1217,60,4,5657,503,71,23174,174,26,8654,118,10,5913,240,51,12445,114,42,4428,169,49,17904,,,,224,30,8624,87,3,2231,1268,75,55767,106,12,3826,1397,79,23398,235,64,4528,2,3,17
45067,Marion County,31,-94.34,32.79,1279.92,0.0,0.0,30,7,1999,13,3,527,23,3,2325,151,31,5295,311,22,14960,12,5,1174,294,39,15443,45,15,1313,71,24,2386,32,4,2779,56,18,2390,,,,1145,61,32532,,,,836,47,10253,293,62,5446,,,
45063,Lexington County,295,-81.28,33.9,1962.33,2.05,0.26,112,20,5829,110,8,7931,1527,48,142720,6493,748,334849,6879,340,407565,2987,94,154662,3240,495,225285,1292,325,55045,3531,644,218553,1931,47,146663,8848,404,280187,742,79,17654,16111,682,812545,1041,89,16207,12945,593,177754,6018,775,191364,18,12,517
