Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
01001,Autauga County,58,-86.63,32.52,1565.36,1.56,0.14,78,10,5107,87,6,5144,138,5,16713,507,90,26392,237,25,16036,66,14,3170,373,68,22234,192,49,10516,318,57,15619,5,3,323,405,44,12052,84,6,2890,1567,100,61020,326,15,5113,2250,104,40270,831,118,20498,5,3,97
01003,Baldwin County,227,-83.26,33.09,4351.5,0.0,0.0,17,11,540,36,8,1636,271,8,21007,4322,705,250602,2740,253,168242,506,96,28774,1727,371,135828,2270,472,110980,2357,517,146244,354,21,40208,5220,337,170662,1399,49,65314,8579,532,414817,1468,99,35320,12131,626,302436,3219,543,100851,9,5,147
01005,Barbour County,25,-85.4,31.86,2342.58,0.0,0.0,132,11,5422,,,,83,5,11243,75,20,3314,38,8,1978,22,8,1428,121,39,5809,30,16,1009,69,24,3214,,,,314,12,8073,70,5,1751,600,35,23919,34,6,640,571,52,8733,173,41,4902,5,3,58
01007,Bibb County,22,-83.69,32.81,1622.29,0.0,0.0,34,10,1461,,,,16,3,1317,654,25,51651,91,14,6019,26,6,1115,62,16,2599,15,10,518,62,19,2569,,,,125,14,6047,67,4,1173,725,23,30877,12,4,156,273,21,4038,118,37,4709,,,
01009,Blount County,59,-86.57,33.95,1685.2,0.0,0.0,7,3,247,24,4,802,,,,592,118,26910,424,40,21943,41,9,2478,213,46,12148,18,11,1106,180,39,10402,,,,317,35,17147,9,3,468,1052,69,38662,62,8,1307,769,51,11031,529,91,14144,,,
01011,Bullock County,10,-85.71,32.1,1619.19,0.0,0.0,387,12,22927,,,,,,,50,8,2208,15,4,839,,,,46,5,1710,4,4,68,33,5,1516,,,,,,,,,,382,10,12899,14,3,248,82,8,943,27,12,528,,,
01013,Butler County,19,-79.93,40.92,2014.42,0.0,0.0,115,24,6157,,,,,,,290,30,15956,86,15,4237,125,11,3335,140,36,5843,41,21,1580,35,17,1927,,,,548,18,8999,,,,860,46,33003,109,5,1244,647,41,10002,118,37,3262,,,
01015,Calhoun County,116,-96.67,28.5,1585.66,0.0,0.0,83,16,4422,,,,150,9,17859,1012,141,46812,1274,92,62127,338,39,19131,852,160,58055,412,77,15313,975,155,61118,145,13,7843,2173,98,62988,777,16,22270,5806,273,251438,264,22,7185,4452,227,73019,1524,280,36843,,,
01023,Choctaw County,13,-89.24,33.36,2385.5,0.0,0.0,296,19,15791,,,,,,,254,18,12952,41,4,1531,17,4,456,76,15,3574,9,4,216,53,16,1755,,,,14,4,232,,,,261,18,11166,6,3,132,108,19,1595,104,41,2771,,,
01017,Chambers County,35,-94.54,29.72,1562.22,0.0,0.0,189,22,8910,,,,83,4,6378,164,42,5978,132,15,7725,43,5,3647,117,27,5517,35,16,1082,149,34,6058,,,,1028,44,24165,100,3,2605,754,53,28917,,,,740,62,11998,305,106,8299,,,
01019,Cherokee County,25,-95.18,31.84,1553.88,0.0,0.0,36,6,1752,,,,95,3,9130,84,22,4674,121,13,6495,42,6,2230,166,27,7273,24,11,1236,58,21,2432,,,,561,7,7237,,,,641,60,27536,15,5,388,496,41,7651,133,42,2791,,,
01021,Chilton County,45,-86.7,32.85,1814.71,0.0,0.0,86,12,4648,,,,79,7,7764,549,94,29584,377,25,23314,54,14,2858,197,54,10071,77,29,2115,121,40,5678,,,,151,23,5664,,,,744,64,37354,99,6,1074,848,59,15138,554,122,11977,,,
01025,Clarke County,23,-93.78,41.02,3244.48,0.0,0.0,231,30,14629,51,3,2353,59,4,4441,122,27,5409,220,15,11450,65,19,2963,295,66,13112,91,20,3085,79,25,3661,,,,116,16,4298,105,5,2103,1108,57,42417,8,4,138,590,56,9651,275,69,6834,1,3,35
01027,Clay County,14,-98.21,33.69,1569.22,0.0,0.0,55,14,2326,,,,,,,42,16,1656,35,4,1619,10,3,505,94,10,5040,8,6,271,47,8,1582,,,,17,3,575,,,,514,19,19867,,,,119,14,1891,116,25,2167,,,
01029,Cleburne County,15,-92.03,35.53,1453.43,0.0,0.0,36,8,1695,,,,,,,443,24,31248,34,6,1423,3,4,327,45,9,2111,8,3,146,84,10,1441,,,,25,6,910,,,,78,11,3098,,,,137,10,2136,106,22,3274,,,
01031,Coffee County,53,-82.84,31.53,1762.78,0.0,0.0,33,5,1404,,,,40,3,3386,377,74,14942,379,34,24137,79,16,4109,461,82,28929,154,47,6256,746,63,60493,,,,893,44,40695,89,12,5060,2003,96,83611,119,10,2044,1816,115,29404,634,126,15901,,,
01033,Colbert County,57,-87.79,34.65,1614.64,1.68,0.04,16,5,966,94,6,7476,,,,2209,102,129895,646,68,35322,139,21,7750,703,102,41097,108,42,4535,347,77,15413,34,4,2938,3222,53,85536,76,5,1564,3004,126,159584,158,20,2826,1801,109,28911,892,136,30498,,,
01037,Coosa County,10,-86.23,32.92,1726.03,0.0,0.0,71,5,2862,,,,,,,84,11,4846,,,,,,,12,5,418,5,6,126,30,7,1287,,,,4,3,88,,,,115,5,4420,,,,196,4,3859,32,17,786,,,
01035,Conecuh County,12,-86.94,31.4,2209.02,0.0,0.0,177,20,9175,,,,,,,47,10,2168,312,7,14517,16,5,642,39,9,1675,10,6,209,19,9,673,,,,30,8,686,,,,527,21,17882,9,3,306,344,17,3986,45,19,1296,,,
01039,Covington County,37,-86.46,31.2,2703.44,0.0,0.0,72,13,3764,,,,445,3,44558,430,74,19741,479,31,20681,75,13,2761,315,65,17602,79,30,3194,319,66,14629,,,,508,32,14775,11,4,335,1705,89,68008,53,11,1034,1052,69,15950,450,97,12938,,,
01043,Cullman County,87,-86.88,34.13,1955.23,0.0,0.0,70,13,3040,,,,143,6,11623,1202,194,59184,1425,87,78729,181,20,11039,796,120,57003,147,56,7119,432,105,21953,456,8,32551,1057,67,33248,95,14,2368,4106,205,198674,109,16,3354,2984,142,51221,1254,198,38008,,,
01041,Crenshaw County,13,-86.32,31.68,1582.21,0.0,0.0,128,17,7703,,,,,,,138,23,5435,464,12,22577,18,5,1477,97,12,4910,12,6,333,34,12,1454,,,,39,7,1743,,,,325,15,10481,,,,202,18,3022,99,31,2471,,,
01047,Dallas County,39,-96.78,32.76,2574.18,1.59,0.02,50,11,3083,,,,52,3,5283,378,40,17868,193,23,9144,72,16,4082,249,47,14175,52,22,1761,177,51,5561,,,,407,23,6708,101,5,1992,1328,79,61375,44,6,922,710,56,11483,624,91,17245,,,
01051,Elmore County,87,-86.13,32.58,1701.75,0.0,0.0,53,10,3101,20,3,882,102,12,10394,883,164,43920,310,42,14787,57,20,3014,362,74,20024,116,58,4009,457,106,19487,21,3,456,240,55,9130,316,8,9259,2245,102,79541,82,16,1764,3079,119,62655,901,161,24359,,,
01045,Dale County,49,-85.62,31.39,1456.97,0.0,0.0,74,8,3533,,,,96,5,7806,601,48,31430,117,13,6116,30,11,1625,381,44,23541,154,31,7615,399,66,22310,302,3,16227,229,33,8283,115,11,7038,1352,62,49679,26,7,573,1103,87,18556,523,84,13145,,,
01049,DeKalb County,72,-88.77,41.89,2016.79,1.72,0.04,5,3,152,,,,,,,543,91,28602,771,50,46560,182,17,11399,417,81,21434,205,33,8233,350,77,15530,30,3,2144,1101,43,27570,104,4,1413,2530,133,103970,51,11,1495,1637,107,31794,414,112,10057,,,
01053,Escambia County,37,-87.35,30.66,2467.59,0.0,0.0,181,19,10402,168,3,10831,80,5,5803,309,55,14290,153,27,8311,87,15,3470,294,69,13780,70,30,2163,204,42,7892,49,4,4367,198,26,8451,,,,1282,66,55135,55,4,1086,1917,72,41940,353,91,7986,,,
01055,Etowah County,103,-86.02,34.04,1421.12,2.0,0.2,8,6,371,,,,133,9,13642,904,128,41848,932,71,50493,203,30,10666,1028,144,59508,201,58,7772,671,134,29758,82,13,7872,1373,81,41957,185,8,3411,6646,292,325493,286,21,4948,3468,187,59968,1428,236,36375,,,
01057,Fayette County,16,-96.96,29.84,1630.07,0.0,0.0,109,17,2762,24,5,1456,,,,68,16,1970,28,6,1683,18,6,885,71,16,3914,13,4,589,58,18,2503,,,,,,,,,,629,39,25445,5,3,95,258,16,3178,121,28,3210,,,
01059,Franklin County,32,-95.22,33.2,1675.09,0.0,0.0,50,12,2638,44,3,2344,,,,252,49,9125,167,20,5963,33,7,1577,400,53,17405,39,21,916,140,24,5261,409,5,24360,274,10,10605,,,,1022,48,39946,15,5,289,620,41,9134,232,61,6716,,,
01063,Greene County,8,-90.39,39.36,1709.12,0.0,0.0,19,4,928,,,,,,,46,7,3231,,,,9,3,528,36,5,1660,,,,7,3,267,,,,,,,,,,246,10,8679,210,5,6366,34,5,487,36,10,701,,,
01061,Geneva County,27,-85.8,31.09,1499.38,0.0,0.0,,,,,,,45,3,3716,206,54,7109,462,23,31524,11,7,421,139,30,6668,27,12,771,99,28,3377,,,,145,19,3154,,,,578,32,20521,7,4,75,312,35,4947,120,50,2954,,,
01065,Hale County,15,-101.81,34.03,1699.62,0.0,0.0,104,13,5146,,,,,,,146,22,7104,22,5,1516,16,4,1173,62,9,3359,4,4,135,27,11,1078,,,,13,6,431,54,3,1221,456,16,16000,,,,170,14,2641,64,17,1400,,,
01067,Henry County,17,-90.12,41.34,1472.02,0.0,0.0,125,14,5214,,,,969,5,137492,128,27,5793,168,16,8407,4,3,215,92,16,5203,3,4,76,178,24,9932,46,5,23583,93,14,4435,65,3,1079,705,21,33634,3,3,91,191,23,3004,197,39,5205,,,
01075,Lamar County,14,-95.58,33.64,1569.01,0.0,0.0,64,12,2274,,,,,,,55,15,2468,19,6,1634,9,6,319,120,12,5575,7,4,154,51,15,1617,,,,17,4,845,,,,291,24,8875,9,5,367,170,19,2483,103,28,2194,,,
01069,Houston County,106,-95.39,31.34,1506.26,1.62,0.18,25,5,1797,,,,28,3,1635,1800,207,92479,3424,165,189872,462,44,21352,1114,196,75974,554,113,26815,1099,223,72667,428,19,34636,2758,126,104268,322,23,9398,10012,329,583809,595,40,11715,5261,280,90364,1820,265,53493,2,3,50
01071,Jackson County,53,-96.56,28.92,2919.13,0.0,0.0,9,5,317,29,3,1498,,,,412,54,19877,469,30,21991,43,8,1516,339,64,15843,70,28,2819,177,50,8598,20,4,1590,273,33,11493,,,,1619,111,76148,10,8,354,1189,81,18926,437,92,9857,,,
01073,Jefferson County,673,-94.17,29.83,2911.58,2.52,2.1,255,8,8379,940,23,95515,5628,50,787406,18846,1143,1369623,16436,993,1276093,8106,338,685631,22498,1278,2538738,5920,882,432755,17081,1987,1466510,7449,161,883019,25911,792,941204,5538,183,195921,59804,1854,3967328,4653,240,123326,27731,1518,593691,18011,1817,759428,34,22,1223
01077,Lauderdale County,93,-87.67,34.9,1864.35,2.27,0.11,108,14,5480,,,,,,,1612,139,82896,1142,71,55868,334,29,13218,1005,172,70573,391,103,14109,740,155,33750,235,9,20931,674,66,19751,388,15,7568,5034,242,246038,312,24,4877,3706,191,67603,1202,232,29015,12,5,360
01081,Lee County,172,-96.96,30.3,1595.03,2.67,0.57,75,13,2346,59,4,3922,247,11,24277,2847,276,166031,1072,95,61825,628,51,35303,1080,190,76092,794,193,33767,1834,294,90064,81,12,7042,4145,206,109308,288,32,7245,6791,285,310672,546,31,10246,7199,396,127331,2049,293,66250,,,
01079,Lawrence County,33,-80.35,41.0,1856.91,0.0,0.0,,,,,,,128,4,12351,269,35,14335,94,15,4175,21,7,949,105,25,5194,24,8,554,216,31,14171,,,,63,10,1780,,,,594,34,21115,,,,503,43,7916,213,58,6080,,,
01085,Lowndes County,10,-83.26,30.82,1877.79,0.0,0.0,21,6,1029,,,,,,,122,10,6511,,,,,,,28,6,1289,9,8,102,13,5,814,,,,,,,,,,111,6,4377,53,3,1492,27,3,522,21,9,458,,,
01083,Limestone County,101,-96.58,31.53,1572.71,0.0,0.0,34,3,1530,35,4,2570,,,,1686,186,93947,1009,64,54382,149,22,9714,385,101,24834,186,69,8691,1012,138,78048,59,5,5004,636,83,21790,171,12,5872,2657,148,111599,119,18,3298,1925,117,34346,1078,162,31536,,,
01087,Macon County,19,-88.96,39.85,1588.15,0.0,0.0,,,,,,,,,,78,7,4597,14,4,700,15,3,698,36,10,1565,27,12,604,31,12,3821,,,,369,13,8419,1076,3,43989,1561,20,122902,,,,327,24,5063,122,28,2372,,,
01089,Madison County,382,-95.95,30.96,2104.99,2.13,0.77,34,9,850,102,5,7137,,,,6446,594,386004,4898,353,361239,4282,183,302816,4175,520,366416,1945,553,108719,47007,1441,4697916,1636,32,180644,9353,475,380655,3112,118,126003,27051,1063,1524214,2236,123,47748,15752,828,315414,5883,811,175539,9,9,122
01093,Marion County,29,-94.34,32.79,1925.59,0.0,0.0,54,11,1794,,,,,,,59,16,2084,737,25,33966,51,9,1875,422,45,20895,25,9,1038,69,25,2197,57,3,1336,597,12,4374,,,,1210,80,50794,8,3,215,691,53,10714,249,58,7251,,,
