Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
12001,Alachua County,276,-82.36,29.68,2509.29,3.59,1.25,53,15,4610,43,3,3854,314,8,18890,5348,532,276876,3260,208,262876,2007,130,156449,3032,311,217811,1763,425,84054,6400,925,444209,1202,29,104275,4253,403,167744,1992,120,63228,29106,885,1782512,1116,111,21628,11984,635,248899,4513,602,204599,8,6,556
12003,Baker County,28,-82.28,30.31,1524.74,0.0,0.0,,,,,,,,,,352,65,16358,49,10,2793,77,7,3727,135,21,6140,10,10,202,113,28,4580,,,,156,26,5160,24,3,551,1780,44,70755,30,6,351,811,40,13715,243,56,6771,,,
12005,Bay County,181,-85.66,30.25,2285.7,1.71,0.21,148,14,7232,,,,266,10,26808,4658,651,236430,1959,173,115303,669,76,43986,1542,243,112536,1221,361,57609,3623,490,231445,223,17,20600,3540,309,108032,385,35,11605,8506,561,488635,930,81,26831,10507,535,264695,2378,419,75901,,,
12011,Broward County,1935,-80.46,26.16,3173.48,3.29,16.94,134,43,4913,81,10,5284,1076,37,103203,43870,5375,2736854,42415,4475,3067144,20410,1116,2940665,33146,3920,3039766,16996,4765,984109,59136,12046,4579378,16289,332,1772053,67484,4387,3156914,19703,983,932477,107038,7269,6279810,12827,1182,562617,78024,4396,2084661,28647,5627,1095878,173,122,10230
12007,Bradford County,28,-76.53,41.77,778.47,0.0,0.0,25,7,1186,,,,,,,250,43,12846,37,13,1500,36,10,1369,124,21,5238,26,14,737,98,30,3510,,,,156,28,7319,45,3,987,676,37,20933,18,5,255,632,43,10678,226,66,5864,,,
12009,Brevard County,602,-80.8,28.21,3353.88,2.08,2.74,17,12,751,33,5,1863,371,27,40786,12742,1729,655184,4583,506,267755,2668,238,226508,5296,756,385980,3038,1024,134137,21817,2040,1871736,3421,43,380906,16067,1090,613115,5279,199,158534,30959,1744,1608028,2509,207,81690,23379,1254,509023,8284,1400,285903,11,10,131
12015,Charlotte County,185,-81.92,26.9,1934.12,1.78,0.27,3,4,198,91,4,4706,80,16,4841,3392,615,171072,1223,127,71573,443,55,19380,999,225,73186,1120,357,44392,1451,430,81940,254,11,20697,1783,358,72964,258,30,8926,8411,514,508337,788,57,13903,5366,317,125221,1920,418,61530,,,
12013,Calhoun County,14,-96.67,28.5,1487.01,0.0,0.0,43,9,2466,,,,,,,126,27,4791,21,7,1141,19,7,986,57,10,2346,4,4,161,13,8,912,,,,10,3,239,,,,557,26,21734,,,,187,13,3102,70,20,1805,,,
12017,Citrus County,152,-82.51,28.85,1710.33,1.83,0.15,27,13,564,42,5,2773,812,26,84142,2385,371,110442,698,72,30170,317,44,16005,654,160,39624,910,195,26258,793,250,45226,15,3,641,1402,198,61404,79,17,2294,9750,389,453186,324,35,5875,3413,220,67425,1524,332,40911,,,
12039,Gadsden County,44,-84.64,30.59,1369.07,0.0,0.0,5,5,107,,,,,,,725,125,35950,812,42,37385,54,13,2482,85,18,3503,80,23,2101,188,43,7162,,,,716,48,26019,115,10,3154,1521,69,129106,108,5,2512,1025,59,27647,222,75,5584,5,4,178
