Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-1133,Est-1133,Pay-1133,Emp-2111,Est-2111,Pay-2111,Emp-2121,Est-2121,Pay-2121,Emp-2123,Est-2123,Pay-2123,Emp-2131,Est-2131,Pay-2131,Emp-2211,Est-2211,Pay-2211,Emp-2212,Est-2212,Pay-2212,Emp-2213,Est-2213,Pay-2213,Emp-2361,Est-2361,Pay-2361,Emp-2362,Est-2362,Pay-2362,Emp-2371,Est-2371,Pay-2371,Emp-2372,Est-2372,Pay-2372,Emp-2373,Est-2373,Pay-2373,Emp-2381,Est-2381,Pay-2381,Emp-2382,Est-2382,Pay-2382,Emp-2383,Est-2383,Pay-2383,Emp-2389,Est-2389,Pay-2389,Emp-3116,Est-3116,Pay-3116,Emp-3118,Est-3118,Pay-3118,Emp-3121,Est-3121,Pay-3121,Emp-3149,Est-3149,Pay-3149,Emp-3211,Est-3211,Pay-3211,Emp-3219,Est-3219,Pay-3219,Emp-3231,Est-3231,Pay-3231,Emp-3241,Est-3241,Pay-3241,Emp-3251,Est-3251,Pay-3251,Emp-3256,Est-3256,Pay-3256,Emp-3259,Est-3259,Pay-3259,Emp-3261,Est-3261,Pay-3261,Emp-3262,Est-3262,Pay-3262,Emp-3271,Est-3271,Pay-3271,Emp-3273,Est-3273,Pay-3273,Emp-3279,Est-3279,Pay-3279,Emp-3313,Est-3313,Pay-3313,Emp-3314,Est-3314,Pay-3314,Emp-3323,Est-3323,Pay-3323,Emp-3324,Est-3324,Pay-3324,Emp-3327,Est-3327,Pay-3327,Emp-3328,Est-3328,Pay-3328,Emp-3329,Est-3329,Pay-3329,Emp-3331,Est-3331,Pay-3331,Emp-3333,Est-3333,Pay-3333,Emp-3339,Est-3339,Pay-3339,Emp-3353,Est-3353,Pay-3353,Emp-3362,Est-3362,Pay-3362,Emp-3363,Est-3363,Pay-3363,Emp-3364,Est-3364,Pay-3364,Emp-3365,Est-3365,Pay-3365,Emp-3371,Est-3371,Pay-3371,Emp-3391,Est-3391,Pay-3391,Emp-3399,Est-3399,Pay-3399,Emp-4231,Est-4231,Pay-4231,Emp-4232,Est-4232,Pay-4232,Emp-4233,Est-4233,Pay-4233,Emp-4234,Est-4234,Pay-4234,Emp-4235,Est-4235,Pay-4235,Emp-4236,Est-4236,Pay-4236,Emp-4237,Est-4237,Pay-4237,Emp-4238,Est-4238,Pay-4238,Emp-4239,Est-4239,Pay-4239,Emp-4241,Est-4241,Pay-4241,Emp-4242,Est-4242,Pay-4242,Emp-4244,Est-4244,Pay-4244,Emp-4246,Est-4246,Pay-4246,Emp-4247,Est-4247,Pay-4247,Emp-4248,Est-4248,Pay-4248,Emp-4249,Est-4249,Pay-4249,Emp-4251,Est-4251,Pay-4251,Emp-4411,Est-4411,Pay-4411,Emp-4412,Est-4412,Pay-4412,Emp-4413,Est-4413,Pay-4413,Emp-4421,Est-4421,Pay-4421,Emp-4422,Est-4422,Pay-4422,Emp-4431,Est-4431,Pay-4431,Emp-4441,Est-4441,Pay-4441,Emp-4442,Est-4442,Pay-4442,Emp-4451,Est-4451,Pay-4451,Emp-4452,Est-4452,Pay-4452,Emp-4453,Est-4453,Pay-4453,Emp-4461,Est-4461,Pay-4461,Emp-4471,Est-4471,Pay-4471,Emp-4481,Est-4481,Pay-4481,Emp-4482,Est-4482,Pay-4482,Emp-4483,Est-4483,Pay-4483,Emp-4511,Est-4511,Pay-4511,Emp-4512,Est-4512,Pay-4512,Emp-4522,Est-4522,Pay-4522,Emp-4523,Est-4523,Pay-4523,Emp-4531,Est-4531,Pay-4531,Emp-4532,Est-4532,Pay-4532,Emp-4533,Est-4533,Pay-4533,Emp-4539,Est-4539,Pay-4539,Emp-4541,Est-4541,Pay-4541,Emp-4542,Est-4542,Pay-4542,Emp-4543,Est-4543,Pay-4543,Emp-4841,Est-4841,Pay-4841,Emp-4842,Est-4842,Pay-4842,Emp-4853,Est-4853,Pay-4853,Emp-4862,Est-4862,Pay-4862,Emp-4881,Est-4881,Pay-4881,Emp-4882,Est-4882,Pay-4882,Emp-4883,Est-4883,Pay-4883,Emp-4884,Est-4884,Pay-4884,Emp-4885,Est-4885,Pay-4885,Emp-4921,Est-4921,Pay-4921,Emp-4931,Est-4931,Pay-4931,Emp-5111,Est-5111,Pay-5111,Emp-5112,Est-5112,Pay-5112,Emp-5121,Est-5121,Pay-5121,Emp-5151,Est-5151,Pay-5151,Emp-5173,Est-5173,Pay-5173,Emp-5179,Est-5179,Pay-5179,Emp-5182,Est-5182,Pay-5182,Emp-5191,Est-5191,Pay-5191,Emp-5221,Est-5221,Pay-5221,Emp-5222,Est-5222,Pay-5222,Emp-5223,Est-5223,Pay-5223,Emp-5231,Est-5231,Pay-5231,Emp-5239,Est-5239,Pay-5239,Emp-5241,Est-5241,Pay-5241,Emp-5242,Est-5242,Pay-5242,Emp-5311,Est-5311,Pay-5311,Emp-5312,Est-5312,Pay-5312,Emp-5313,Est-5313,Pay-5313,Emp-5321,Est-5321,Pay-5321,Emp-5322,Est-5322,Pay-5322,Emp-5323,Est-5323,Pay-5323,Emp-5324,Est-5324,Pay-5324,Emp-5331,Est-5331,Pay-5331,Emp-5411,Est-5411,Pay-5411,Emp-5412,Est-5412,Pay-5412,Emp-5413,Est-5413,Pay-5413,Emp-5414,Est-5414,Pay-5414,Emp-5415,Est-5415,Pay-5415,Emp-5416,Est-5416,Pay-5416,Emp-5417,Est-5417,Pay-5417,Emp-5418,Est-5418,Pay-5418,Emp-5419,Est-5419,Pay-5419,Emp-5511,Est-5511,Pay-5511,Emp-5611,Est-5611,Pay-5611,Emp-5612,Est-5612,Pay-5612,Emp-5613,Est-5613,Pay-5613,Emp-5614,Est-5614,Pay-5614,Emp-5615,Est-5615,Pay-5615,Emp-5616,Est-5616,Pay-5616,Emp-5617,Est-5617,Pay-5617,Emp-5619,Est-5619,Pay-5619,Emp-5621,Est-5621,Pay-5621,Emp-5622,Est-5622,Pay-5622,Emp-5629,Est-5629,Pay-5629,Emp-6111,Est-6111,Pay-6111,Emp-6112,Est-6112,Pay-6112,Emp-6114,Est-6114,Pay-6114,Emp-6115,Est-6115,Pay-6115,Emp-6116,Est-6116,Pay-6116,Emp-6117,Est-6117,Pay-6117,Emp-6211,Est-6211,Pay-6211,Emp-6212,Est-6212,Pay-6212,Emp-6213,Est-6213,Pay-6213,Emp-6214,Est-6214,Pay-6214,Emp-6215,Est-6215,Pay-6215,Emp-6216,Est-6216,Pay-6216,Emp-6219,Est-6219,Pay-6219,Emp-6221,Est-6221,Pay-6221,Emp-6231,Est-6231,Pay-6231,Emp-6232,Est-6232,Pay-6232,Emp-6233,Est-6233,Pay-6233,Emp-6239,Est-6239,Pay-6239,Emp-6241,Est-6241,Pay-6241,Emp-6242,Est-6242,Pay-6242,Emp-6243,Est-6243,Pay-6243,Emp-6244,Est-6244,Pay-6244,Emp-7111,Est-7111,Pay-7111,Emp-7112,Est-7112,Pay-7112,Emp-7113,Est-7113,Pay-7113,Emp-7115,Est-7115,Pay-7115,Emp-7121,Est-7121,Pay-7121,Emp-7132,Est-7132,Pay-7132,Emp-7139,Est-7139,Pay-7139,Emp-7211,Est-7211,Pay-7211,Emp-7212,Est-7212,Pay-7212,Emp-7213,Est-7213,Pay-7213,Emp-7223,Est-7223,Pay-7223,Emp-7224,Est-7224,Pay-7224,Emp-7225,Est-7225,Pay-7225,Emp-8111,Est-8111,Pay-8111,Emp-8112,Est-8112,Pay-8112,Emp-8113,Est-8113,Pay-8113,Emp-8114,Est-8114,Pay-8114,Emp-8121,Est-8121,Pay-8121,Emp-8122,Est-8122,Pay-8122,Emp-8123,Est-8123,Pay-8123,Emp-8129,Est-8129,Pay-8129,Emp-8131,Est-8131,Pay-8131,Emp-8132,Est-8132,Pay-8132,Emp-8133,Est-8133,Pay-8133,Emp-8134,Est-8134,Pay-8134,Emp-8139,Est-8139,Pay-8139
54023,Grant County,12,-96.03,45.94,1243.88,0.0,0.0,24,5,851,,,,,,,,,,,,,244,3,23194,,,,,,,19,9,438,,,,,,,,,,,,,30,10,711,12,4,543,,,,47,9,3271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,1262,,,,51,5,932,,,,,,,37,3,1248,118,10,2639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,1498,19,8,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,4,2837,,,,,,,,,,,,,,,,22,5,850,10,4,242,,,,,,,,,,,,,,,,,,,,,,8,3,418,,,,17,3,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,1280,,,,,,,,,,,,,45,3,1647,,,,,,,,,,,,,,,,,,,230,4,2723,,,,,,,70,4,1408,,,,,,,,,,,,,,,,,,,,,,50,5,796,,,,,,,,,,,,,191,15,1999,23,8,649,,,,23,3,668,,,,6,4,122,,,,,,,,,,35,16,488,,,,,,,,,,,,
54027,Hampshire County,23,-72.62,42.34,1669.59,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,39,12,1252,,,,31,4,1318,,,,,,,10,9,505,27,10,944,6,4,115,30,7,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,126,,,,,,,,,,,,,,,,,,,,,,17,3,470,,,,,,,,,,20,3,451,28,4,446,92,3,1481,,,,,,,50,4,1803,141,10,2712,,,,,,,,,,,,,,,,,,,54,8,1019,,,,6,3,168,,,,,,,,,,,,,,,,,,,30,8,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,10,5113,14,3,771,,,,,,,,,,,,,20,5,636,5,3,72,10,6,424,8,3,415,,,,,,,,,,,,,,,,26,7,935,,,,5,3,126,,,,,,,,,,,,,,,,15,4,449,,,,,,,,,,,,,,,,,,,,,,41,7,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,693,44,3,3111,40,7,1438,,,,,,,,,,,,,,,,,,,183,8,5295,,,,,,,129,5,2282,36,3,837,,,,,,,,,,,,,,,,,,,,,,,,,38,3,595,35,5,657,22,6,863,,,,,,,,,,257,24,3314,27,12,962,,,,,,,,,,,,,12,3,464,,,,,,,37,16,838,,,,,,,20,3,217,,,
54025,Greenbrier County,35,-80.45,37.96,2653.15,0.0,0.0,50,13,3156,,,,,,,,,,,,,53,3,5133,,,,,,,291,38,8908,20,3,755,,,,,,,,,,25,9,891,68,18,2165,15,8,560,98,14,4088,,,,,,,,,,,,,,,,310,5,14915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,1098,,,,,,,,,,,,,,,,,,,88,5,4566,,,,,,,137,9,6846,,,,91,12,2231,20,4,643,,,,,,,233,9,6967,16,3,560,243,5,5823,42,4,496,,,,142,15,5598,217,28,4059,35,6,497,23,4,737,11,3,482,47,4,1121,,,,,,,398,16,10385,22,3,736,9,5,216,17,4,230,,,,,,,,,,31,7,912,,,,11,9,396,,,,,,,,,,,,,,,,10,4,192,,,,,,,,,,,,,,,,,,,,,,53,8,2643,,,,,,,,,,163,22,6150,26,8,1411,,,,,,,10,3,933,,,,41,19,1271,41,16,1306,14,8,624,13,6,416,,,,17,3,657,,,,,,,,,,55,18,1986,46,15,1147,6,3,40,6,3,122,7,4,312,15,7,757,,,,,,,112,12,2829,,,,,,,,,,326,8,14044,,,,18,3,571,56,4,1165,70,18,1654,,,,48,4,1203,,,,,,,,,,,,,,,,,,,15,4,445,,,,320,27,29223,101,14,4205,147,14,5578,388,18,14088,6,4,393,122,3,5534,98,4,2642,,,,294,6,8400,144,16,3503,48,3,1232,,,,228,12,4612,59,5,1199,,,,41,7,554,,,,,,,,,,,,,,,,30,5,500,156,4,2842,1270,11,53703,22,4,1129,,,,52,4,351,15,4,216,909,57,14978,46,13,1336,,,,15,4,389,,,,31,7,560,37,9,1471,11,3,156,,,,193,45,3265,6,4,163,38,3,1594,,,,17,4,730
54089,Summers County,13,-80.85,37.63,952.46,0.0,0.0,10,3,261,,,,,,,,,,,,,,,,,,,,,,8,9,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,10,905,,,,,,,,,,,,,,,,,,,12,3,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,749,,,,,,,,,,,,,,,,30,3,964,,,,,,,,,,,,,,,,,,,,,,,,,14,4,458,,,,,,,,,,14,4,875,,,,,,,,,,20,3,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,249,,,,,,,,,,,,,,,,,,,,,,,,,68,3,1239,,,,5,3,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,93,,,,,,,,,,173,7,2174,9,3,257,,,,,,,,,,,,,20,5,476,,,,,,,31,11,476,,,,,,,,,,,,
54009,Brooke County,22,-80.57,40.27,239.96,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,15,6,379,,,,,,,,,,,,,29,4,1219,27,7,881,,,,87,6,5703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,3,2770,622,3,29467,,,,309,3,20376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,4,1923,,,,,,,,,,,,,,,,,,,,,,318,9,6622,,,,,,,105,8,4341,120,10,2341,,,,,,,,,,,,,,,,,,,274,5,8074,,,,,,,,,,,,,,,,,,,,,,13,3,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,9,2571,,,,,,,,,,,,,,,,22,8,785,33,3,537,,,,,,,,,,,,,,,,,,,,,,17,7,531,28,9,639,,,,,,,,,,,,,,,,,,,25,4,440,21,3,3521,,,,,,,,,,,,,,,,,,,3,6,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,14,23850,24,5,1059,41,8,1577,,,,,,,,,,,,,,,,169,3,5616,86,6,1931,107,5,2258,17,3,570,57,6,880,,,,,,,39,3,815,,,,,,,,,,,,,,,,43,9,686,,,,,,,,,,,,,,,,48,10,550,520,32,9133,17,5,395,,,,,,,,,,28,6,408,28,6,819,,,,,,,70,23,983,,,,,,,22,6,219,44,5,150
54029,Hancock County,29,-91.15,40.39,227.91,2.37,0.14,,,,,,,,,,,,,3,3,406,44,3,5182,,,,,,,42,11,978,,,,,,,,,,,,,16,6,876,37,8,956,13,4,243,22,3,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,3,24777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,1778,,,,,,,,,,38,3,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,7,1727,,,,,,,,,,43,6,1381,,,,187,11,3760,,,,9,3,190,106,11,3890,147,13,2995,,,,,,,,,,,,,,,,,,,58,7,906,,,,,,,,,,73,15,1421,,,,,,,,,,3,3,367,96,5,4435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,7,1532,,,,,,,,,,168,13,6940,,,,,,,,,,,,,,,,47,11,2847,31,11,897,10,5,341,,,,,,,19,3,589,,,,,,,,,,82,25,3253,77,13,935,21,4,1963,,,,,,,24,3,1122,,,,,,,29,3,727,,,,,,,10,4,292,2,3,473,,,,6,3,287,,,,108,12,3012,,,,89,5,4197,,,,,,,113,3,2175,,,,,,,,,,,,,,,,127,12,6529,45,9,1573,65,11,2230,,,,,,,,,,,,,,,,364,3,10778,74,6,1529,,,,,,,268,10,7148,,,,,,,54,6,875,,,,120,3,7181,,,,,,,,,,108,18,1335,53,6,1062,,,,,,,,,,,,,54,14,679,797,49,11878,58,13,1540,,,,,,,,,,27,9,608,17,7,982,,,,,,,86,27,1113,,,,,,,63,8,606,39,6,347
54017,Doddridge County,9,-80.73,39.26,830.27,0.0,0.0,,,,239,5,21698,,,,,,,,,,,,,,,,,,,13,3,389,,,,,,,,,,,,,,,,,,,54,3,3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,5,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,4,668,2,3,164,,,,,,,,,,,,,,,,,,,,,,8,6,147,,,,,,,,,,,,
54031,Hardy County,14,-78.84,39.0,1513.76,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,33,10,722,9,4,185,,,,,,,,,,,,,15,8,500,,,,36,6,1277,1740,3,61633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3,2076,,,,37,6,844,,,,,,,,,,17,3,628,34,3,1061,100,4,1854,,,,,,,,,,63,5,1308,,,,,,,,,,,,,,,,,,,231,8,6421,,,,,,,,,,,,,,,,,,,,,,106,6,5228,18,6,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3,2661,,,,,,,,,,169,11,9922,,,,,,,,,,,,,,,,23,8,799,5,5,110,7,4,211,,,,,,,,,,,,,,,,,,,11,5,264,28,5,667,,,,,,,,,,,,,,,,,,,38,4,1211,,,,,,,,,,,,,,,,,,,,,,8,5,3707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3,2020,,,,23,6,688,153,6,8093,,,,,,,,,,,,,,,,20,4,521,,,,,,,79,5,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,343,44,4,808,,,,,,,,,,,,,314,21,4539,43,10,1358,,,,,,,,,,,,,17,3,89,,,,,,,19,8,964,,,,,,,12,3,89,,,
54049,Marion County,56,-94.34,32.79,806.77,2.62,0.23,,,,,,,950,3,86034,,,,102,6,7121,599,9,49799,,,,,,,111,33,2983,40,6,3701,,,,,,,,,,37,14,1303,232,27,12304,44,7,1396,182,18,9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,10,8785,,,,116,4,5173,,,,,,,43,3,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,1068,207,12,11839,34,5,953,,,,,,,227,9,9091,,,,,,,,,,,,,,,,226,14,10000,46,4,2003,152,17,4709,27,4,815,,,,,,,139,16,4696,113,3,4834,269,13,5239,,,,,,,190,15,6535,321,36,5509,44,4,470,,,,,,,8,4,225,,,,,,,448,12,12705,10,3,126,14,4,228,22,6,375,56,9,2149,,,,,,,5,3,246,149,7,7491,12,4,322,,,,,,,,,,,,,,,,28,7,935,,,,,,,,,,,,,,,,,,,,,,101,14,6145,,,,,,,,,,300,25,12521,26,6,959,,,,,,,24,9,2274,,,,65,21,2602,60,20,1317,10,7,324,4,3,111,,,,,,,,,,,,,,,,47,17,2016,214,17,3793,100,11,7999,,,,524,29,44505,167,14,11091,,,,,,,105,7,2742,,,,45,3,3165,,,,365,7,15837,313,3,7371,,,,,,,117,24,2669,19,3,1296,84,6,4375,,,,8,4,151,,,,,,,,,,,,,16,8,252,,,,180,21,29415,141,17,5347,107,22,3877,159,8,8362,24,8,1466,48,3,1985,74,3,2081,,,,389,5,15860,96,8,2454,77,7,1652,118,4,3656,414,19,8690,46,5,1083,,,,118,9,2336,,,,,,,,,,,,,,,,91,15,1408,65,9,949,155,10,2357,,,,,,,108,4,1268,59,9,735,1390,81,21434,90,25,2925,,,,124,8,8939,,,,71,12,1274,49,11,1928,75,6,1731,10,4,150,246,60,3810,13,4,577,30,4,890,43,10,678,72,14,838
54057,Mineral County,27,-106.93,37.66,852.41,1.56,0.07,,,,,,,,,,,,,,,,29,3,2136,,,,,,,16,12,635,,,,,,,,,,,,,20,6,738,68,6,4111,,,,23,8,1245,,,,,,,,,,,,,,,,252,4,7349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,5,4086,,,,31,3,756,,,,,,,,,,28,5,792,,,,213,14,4172,,,,,,,66,8,2780,78,7,1366,,,,,,,,,,,,,,,,,,,347,9,8255,,,,,,,,,,52,5,1142,,,,,,,31,3,1076,24,4,1035,53,5,1953,,,,,,,,,,,,,,,,5,3,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,160,83,13,2842,28,4,991,,,,,,,,,,,,,34,11,1100,,,,16,7,498,,,,,,,,,,,,,,,,,,,18,8,925,,,,67,5,3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,12,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,8,2156,32,5,1789,57,11,2011,41,3,1284,,,,,,,,,,,,,226,3,6557,163,13,3371,,,,188,5,5876,326,6,5311,19,5,322,,,,47,7,688,,,,,,,,,,,,,,,,,,,21,5,247,29,3,424,,,,,,,,,,38,11,476,434,36,5533,24,9,750,,,,37,3,1264,,,,13,5,273,19,4,399,,,,,,,105,30,1162,,,,,,,35,5,446,,,
